experiment,model,model_id,text,shot,task,n,accuracy,macro_f1,weighted_f1,invalid_rows_percent
gemma4_five_native,Gemma 4,gemma4:e4b,native,five,Task A,1500,0.532,0.5656122092211808,0.5822249418540217,19.8
gemma4_five_native,Gemma 4,gemma4:e4b,native,five,Task B,1500,0.39866666666666667,0.29165827991719134,0.416808120757768,19.8
gemma4_five_native,Gemma 4,gemma4:e4b,native,five,Task B.1,1500,0.5266666666666666,0.49736822041792816,0.5581857960030304,19.8
gemma4_five_translated,Gemma 4,gemma4:e4b,translated,five,Task A,1500,0.5786666666666667,0.6238806222706328,0.6088306165248469,12.266666666666666
gemma4_five_translated,Gemma 4,gemma4:e4b,translated,five,Task B,1500,0.434,0.33073270726157666,0.44156526040562644,12.266666666666666
gemma4_five_translated,Gemma 4,gemma4:e4b,translated,five,Task B.1,1500,0.576,0.5528738875173463,0.588499305985576,12.266666666666666
gemma4_zero_native,Gemma 4,gemma4:e4b,native,zero,Task A,1500,0.626,0.6325248704384884,0.6247907216349533,0.0
gemma4_zero_native,Gemma 4,gemma4:e4b,native,zero,Task B,1500,0.5353333333333333,0.34577781430748955,0.5358061921134709,0.0
gemma4_zero_native,Gemma 4,gemma4:e4b,native,zero,Task B.1,1500,0.674,0.5516818571517146,0.6620132382066177,0.0
gemma4_zero_translated,Gemma 4,gemma4:e4b,translated,zero,Task A,1500,0.646,0.6579978050153413,0.6410257122244508,0.0
gemma4_zero_translated,Gemma 4,gemma4:e4b,translated,zero,Task B,1500,0.552,0.3524100632856954,0.5473406952317711,0.0
gemma4_zero_translated,Gemma 4,gemma4:e4b,translated,zero,Task B.1,1500,0.6886666666666666,0.56326557326538,0.6740342298924701,0.0
gpt41mini_five_native,GPT-4.1-mini,gpt-4.1-mini,native,five,Task A,1500,0.6313333333333333,0.596465104270533,0.6281704050681401,0.0
gpt41mini_five_native,GPT-4.1-mini,gpt-4.1-mini,native,five,Task B,1500,0.47,0.3152437117607481,0.447152380017161,0.0
gpt41mini_five_native,GPT-4.1-mini,gpt-4.1-mini,native,five,Task B.1,1500,0.5886666666666667,0.46283234322746813,0.5651171527004163,0.0
gpt41mini_five_translated,GPT-4.1-mini,gpt-4.1-mini,translated,five,Task A,1500,0.6466666666666666,0.616993144880906,0.6450050093204612,0.0
gpt41mini_five_translated,GPT-4.1-mini,gpt-4.1-mini,translated,five,Task B,1500,0.482,0.3246376613739609,0.46311968697497136,0.0
gpt41mini_five_translated,GPT-4.1-mini,gpt-4.1-mini,translated,five,Task B.1,1500,0.5946666666666667,0.4656021090758048,0.5760269609876737,0.0
gpt41mini_zero_native,GPT-4.1-mini,gpt-4.1-mini,native,zero,Task A,1500,0.6353333333333333,0.616371782988839,0.6300175933599713,0.06666666666666667
gpt41mini_zero_native,GPT-4.1-mini,gpt-4.1-mini,native,zero,Task B,1500,0.4806666666666667,0.32772971901115044,0.48477591446394125,0.06666666666666667
gpt41mini_zero_native,GPT-4.1-mini,gpt-4.1-mini,native,zero,Task B.1,1500,0.604,0.49057610852171063,0.6050464988871768,0.06666666666666667
gpt41mini_zero_translated,GPT-4.1-mini,gpt-4.1-mini,translated,zero,Task A,1500,0.6526666666666666,0.6384558831760566,0.6473386886592193,0.0
gpt41mini_zero_translated,GPT-4.1-mini,gpt-4.1-mini,translated,zero,Task B,1500,0.5013333333333333,0.3593772428878546,0.5113739337168525,0.0
gpt41mini_zero_translated,GPT-4.1-mini,gpt-4.1-mini,translated,zero,Task B.1,1500,0.612,0.49377999911726067,0.6167402542267933,0.0
gpt4o_mini_five_native,GPT-4o-mini,gpt-4o-mini,native,five,Task A,1500,0.6233333333333333,0.6054086775788244,0.6174717500381304,0.0
gpt4o_mini_five_native,GPT-4o-mini,gpt-4o-mini,native,five,Task B,1500,0.5753333333333334,0.3722230810390902,0.5468681886364346,0.0
gpt4o_mini_five_native,GPT-4o-mini,gpt-4o-mini,native,five,Task B.1,1500,0.714,0.6497774054605304,0.7027155050547386,0.0
gpt4o_mini_five_translated,GPT-4o-mini,gpt-4o-mini,translated,five,Task A,1500,0.6433333333333333,0.6236860668782225,0.639465759572115,0.0
gpt4o_mini_five_translated,GPT-4o-mini,gpt-4o-mini,translated,five,Task B,1500,0.588,0.3807609496197394,0.5563814351374604,0.0
gpt4o_mini_five_translated,GPT-4o-mini,gpt-4o-mini,translated,five,Task B.1,1500,0.7233333333333334,0.6600514802235253,0.7099416037374434,0.0
gpt4o_mini_zero_native,GPT-4o-mini,gpt-4o-mini,native,zero,Task A,1500,0.602,0.6005394842722885,0.5868789419713708,0.0
gpt4o_mini_zero_native,GPT-4o-mini,gpt-4o-mini,native,zero,Task B,1500,0.584,0.38388372279485383,0.5825633125753128,0.0
gpt4o_mini_zero_native,GPT-4o-mini,gpt-4o-mini,native,zero,Task B.1,1500,0.728,0.6226449580453778,0.725078135825506,0.0
gpt4o_mini_zero_translated,GPT-4o-mini,gpt-4o-mini,translated,zero,Task A,1500,0.618,0.6198710184921062,0.6082785018852287,0.0
gpt4o_mini_zero_translated,GPT-4o-mini,gpt-4o-mini,translated,zero,Task B,1500,0.6013333333333334,0.3919325016212218,0.6021644509151599,0.0
gpt4o_mini_zero_translated,GPT-4o-mini,gpt-4o-mini,translated,zero,Task B.1,1500,0.742,0.6455959825158696,0.7408925768907416,0.0
qwen35_five_native,Qwen 3.5,qwen3.5:9b,native,five,Task A,1500,0.592,0.5728054956771116,0.5913024607182248,1.2
qwen35_five_native,Qwen 3.5,qwen3.5:9b,native,five,Task B,1500,0.454,0.24189033637312968,0.40379931648413714,1.2
qwen35_five_native,Qwen 3.5,qwen3.5:9b,native,five,Task B.1,1500,0.6,0.43024080959203354,0.5635441989651129,1.2
qwen35_five_translated,Qwen 3.5,qwen3.5:9b,translated,five,Task A,1500,0.612,0.583823326130755,0.6088752652062067,0.13333333333333333
qwen35_five_translated,Qwen 3.5,qwen3.5:9b,translated,five,Task B,1500,0.484,0.26935906985277575,0.4307323952039039,0.13333333333333333
qwen35_five_translated,Qwen 3.5,qwen3.5:9b,translated,five,Task B.1,1500,0.616,0.44087635272629866,0.5666190853104706,0.13333333333333333
qwen35_zero_native,Qwen 3.5,qwen3.5:9b,native,zero,Task A,1500,0.5873333333333334,0.5582025662072589,0.5854647246954183,0.5333333333333333
qwen35_zero_native,Qwen 3.5,qwen3.5:9b,native,zero,Task B,1500,0.448,0.27735139120401353,0.4401978266882488,0.5333333333333333
qwen35_zero_native,Qwen 3.5,qwen3.5:9b,native,zero,Task B.1,1500,0.5886666666666667,0.46145376773967656,0.583499632980158,0.5333333333333333
qwen35_zero_translated,Qwen 3.5,qwen3.5:9b,translated,zero,Task A,1500,0.606,0.567139666216992,0.6032034859903163,0.13333333333333333
qwen35_zero_translated,Qwen 3.5,qwen3.5:9b,translated,zero,Task B,1500,0.458,0.27743362181750014,0.4469419659199122,0.13333333333333333
qwen35_zero_translated,Qwen 3.5,qwen3.5:9b,translated,zero,Task B.1,1500,0.6026666666666667,0.4715925006835273,0.5946066937725655,0.13333333333333333
