experiment,model,text,shot,task,macro_f1,ci_low,ci_high,n_boot,seed
gemma4_zero_native,Gemma 4,native,zero,Task A,0.6325248704384884,0.6060453313578043,0.6581072865425798,10000,42
gemma4_zero_translated,Gemma 4,translated,zero,Task A,0.6579978050153413,0.6335902221510651,0.6818855295424037,10000,42
gemma4_five_native,Gemma 4,native,five,Task A,0.5656122092211808,0.5362724822772987,0.5934246740211834,10000,42
gemma4_five_translated,Gemma 4,translated,five,Task A,0.6238806222706328,0.5966631776189741,0.6500374219258989,10000,42
gpt41mini_zero_native,GPT-4.1-mini,native,zero,Task A,0.616371782988839,0.5875102401961766,0.6440241041213732,10000,42
gpt41mini_zero_translated,GPT-4.1-mini,translated,zero,Task A,0.6384558831760566,0.6094293344004166,0.6662362835046195,10000,42
gpt41mini_five_native,GPT-4.1-mini,native,five,Task A,0.596465104270533,0.5657413114626634,0.6257510076293953,10000,42
gpt41mini_five_translated,GPT-4.1-mini,translated,five,Task A,0.616993144880906,0.5864597572231065,0.6460628866775765,10000,42
gpt4o_mini_zero_native,GPT-4o-mini,native,zero,Task A,0.6005394842722885,0.5733311150250664,0.626619744125189,10000,42
gpt4o_mini_zero_translated,GPT-4o-mini,translated,zero,Task A,0.6198710184921062,0.5931592006812939,0.6455791765182469,10000,42
gpt4o_mini_five_native,GPT-4o-mini,native,five,Task A,0.6054086775788244,0.5761361548084524,0.6328704128115126,10000,42
gpt4o_mini_five_translated,GPT-4o-mini,translated,five,Task A,0.6236860668782225,0.5946086496116885,0.6513750007238017,10000,42
qwen35_zero_native,Qwen 3.5,native,zero,Task A,0.5582025662072589,0.5284957706401489,0.5866283060219774,10000,42
qwen35_zero_translated,Qwen 3.5,translated,zero,Task A,0.567139666216992,0.5383045079841354,0.59492131784606,10000,42
qwen35_five_native,Qwen 3.5,native,five,Task A,0.5728054956771116,0.5429747746552044,0.6010900211895575,10000,42
qwen35_five_translated,Qwen 3.5,translated,five,Task A,0.583823326130755,0.5544678421556818,0.6120617835410025,10000,42
gemma4_zero_native,Gemma 4,native,zero,Task B,0.34577781430748955,0.3139695743908805,0.38004367582166443,10000,42
gemma4_zero_translated,Gemma 4,translated,zero,Task B,0.3524100632856954,0.31864059559481184,0.38785261762709095,10000,42
gemma4_five_native,Gemma 4,native,five,Task B,0.29165827991719134,0.2519789649097827,0.3321659590985091,10000,42
gemma4_five_translated,Gemma 4,translated,five,Task B,0.33073270726157666,0.29274969522021466,0.369274145570398,10000,42
gpt41mini_zero_native,GPT-4.1-mini,native,zero,Task B,0.32772971901115044,0.29282869136754075,0.36335410619002295,10000,42
gpt41mini_zero_translated,GPT-4.1-mini,translated,zero,Task B,0.3593772428878546,0.32003839799762296,0.39873191459979396,10000,42
gpt41mini_five_native,GPT-4.1-mini,native,five,Task B,0.3152437117607481,0.28091244997882103,0.350678067033422,10000,42
gpt41mini_five_translated,GPT-4.1-mini,translated,five,Task B,0.3246376613739609,0.2885679885792958,0.3617731182863944,10000,42
gpt4o_mini_zero_native,GPT-4o-mini,native,zero,Task B,0.38388372279485383,0.33782978976950867,0.4282454598111556,10000,42
gpt4o_mini_zero_translated,GPT-4o-mini,translated,zero,Task B,0.3919325016212218,0.3461466819687121,0.43685780917724293,10000,42
gpt4o_mini_five_native,GPT-4o-mini,native,five,Task B,0.3722230810390902,0.3263473099966212,0.41836538161513787,10000,42
gpt4o_mini_five_translated,GPT-4o-mini,translated,five,Task B,0.3807609496197394,0.33113544319669047,0.42903159989883577,10000,42
qwen35_zero_native,Qwen 3.5,native,zero,Task B,0.27735139120401353,0.24159629863298535,0.31470639658061256,10000,42
qwen35_zero_translated,Qwen 3.5,translated,zero,Task B,0.27743362181750014,0.2439741400239361,0.31304594012202636,10000,42
qwen35_five_native,Qwen 3.5,native,five,Task B,0.24189033637312968,0.2085454941520305,0.2770578815725473,10000,42
qwen35_five_translated,Qwen 3.5,translated,five,Task B,0.26935906985277575,0.23470304978330359,0.30667524471499813,10000,42
gemma4_zero_native,Gemma 4,native,zero,Task B.1,0.5516818571517146,0.5187179566962573,0.5853227727488814,10000,42
gemma4_zero_translated,Gemma 4,translated,zero,Task B.1,0.56326557326538,0.5224729496238576,0.6051571667883431,10000,42
gemma4_five_native,Gemma 4,native,five,Task B.1,0.49736822041792816,0.4586081563257961,0.5367628094093061,10000,42
gemma4_five_translated,Gemma 4,translated,five,Task B.1,0.5528738875173463,0.5048903914564452,0.601546270400316,10000,42
gpt41mini_zero_native,GPT-4.1-mini,native,zero,Task B.1,0.49057610852171063,0.46918589635705804,0.5119659361563815,10000,42
gpt41mini_zero_translated,GPT-4.1-mini,translated,zero,Task B.1,0.49377999911726067,0.47170199614427577,0.5152409074585145,10000,42
gpt41mini_five_native,GPT-4.1-mini,native,five,Task B.1,0.46283234322746813,0.44136561546767555,0.4843614703864401,10000,42
gpt41mini_five_translated,GPT-4.1-mini,translated,five,Task B.1,0.4656021090758048,0.4430571968365635,0.4883123879731535,10000,42
gpt4o_mini_zero_native,GPT-4o-mini,native,zero,Task B.1,0.6226449580453778,0.5648830538498695,0.6768093438183748,10000,42
gpt4o_mini_zero_translated,GPT-4o-mini,translated,zero,Task B.1,0.6455959825158696,0.5911753509303435,0.6982709542848563,10000,42
gpt4o_mini_five_native,GPT-4o-mini,native,five,Task B.1,0.6497774054605304,0.6025781159438879,0.6967858265430211,10000,42
gpt4o_mini_five_translated,GPT-4o-mini,translated,five,Task B.1,0.6600514802235253,0.6008800075801838,0.7137478517209668,10000,42
qwen35_zero_native,Qwen 3.5,native,zero,Task B.1,0.46145376773967656,0.4380570743519002,0.4859236172890122,10000,42
qwen35_zero_translated,Qwen 3.5,translated,zero,Task B.1,0.4715925006835273,0.4475507416646357,0.4962792847623008,10000,42
qwen35_five_native,Qwen 3.5,native,five,Task B.1,0.43024080959203354,0.4074689810226494,0.45786213849167895,10000,42
qwen35_five_translated,Qwen 3.5,translated,five,Task B.1,0.44087635272629866,0.41252827649791995,0.47392021212887936,10000,42
